teff,prot,area,moment,BpmRp_interp
6448.934143178748,2.2880140945914604,111,1959.2072072072,0.6062208118059288
6437.542491829337,1.1779271971056389,109,1892.0733944954181,0.6098485291222844
6376.674331018548,1.7567456553476293,91,1418.4395604395615,0.6289868603882409
6324.5170060020055,3.2886664386056785,106,1785.3584905660348,0.6445282115090858
6281.242328004918,2.8981289825555585,111,1960.576576576578,0.6568647149476077
6236.918587776362,3.019316216853383,52,653.3846153846147,0.6710713986057603
6147.335482147244,4.826718820261371,103,1712.038834951459,0.6983908700656895
6107.536348543543,5.629148166965479,106,1787.4339622641508,0.7012338212741065
6052.253022756618,5.947879131863212,110,1927.2727272727261,0.7244094340109678
6069.165846144263,5.537697874301445,14,100.42857142857149,0.7135098238754898
6042.821214317819,6.5628122204473245,71,961.774647887324,0.7319464581400321
6026.697523100401,6.287888984448934,112,1992.0,0.7471007750707701
6010.055630003308,7.649867009821912,55,740.9454545454538,0.7608096495258181
6000.894977797665,6.644962088957515,38,448.97368421052585,0.7665129623602983
5979.634673879278,6.927676543925855,84,1253.9523809523807,0.7747069370918793
5934.018311716152,6.740159166975638,111,1961.4594594594546,0.7777519170365164
5838.942831748586,7.434467544782011,112,1992.0,0.8159178165592477
5745.5777136532515,7.968728839152838,112,1994.7767857142835,0.8272029655611068
5688.999849071791,8.840798797218284,108,1856.4999999999955,0.837986351732874
5682.480588955408,7.802806531507117,112,1995.6785714285681,0.8400825107679362
5663.1459904841195,8.371035625483204,111,1960.3423423423426,0.8486023657078425
5593.177412672636,8.725613031511651,61,830.918032786884,0.8684679955185676
5554.703090674313,8.890986673270369,101,1652.5742574257404,0.8735349974043853
5493.943586389629,9.131193855550633,40,391.47499999999917,0.8980354704882758
5508.85096118909,8.870181559795993,24,231.29166666666674,0.8900826256205825
5491.338319449662,8.430925301878593,107,1823.214953271034,0.8993398391981619
5465.2612789841305,8.892058399380463,107,1823.2149532710348,0.9109941050683251
5442.571816672536,9.461160970283988,112,1991.9999999999993,0.9190609026802128
5396.012446241353,8.681108032313167,110,1926.2363636363632,0.9307610737702752
5358.256052500657,8.568548398315809,3,2.666666666666667,0.9427482208585318
5351.302175043182,8.64852487215683,1,0.0,0.9453985953947991
5295.236538042293,7.962387494364856,108,1856.5,0.9716717329502559
5212.591458878832,9.131592195767102,109,1890.917431192661,1.0005674020816104
5210.486156529321,9.600014273055251,108,1855.2962962962986,1.0000830414797721
5188.581442538277,9.907533266558458,95,1481.557894736842,0.9980309527663029
5157.959546448754,9.284102765954973,98,1606.5510204081652,1.0248210830984406
5171.743124980534,9.025971912133576,7,10.571428571428571,1.0083147313151035
5146.5737009883505,7.973347681981333,110,1926.0454545454504,1.041658874766842
5070.7438985052195,9.68640513805008,34,258.2941176470589,1.0784850373983628
5073.6583912631295,9.317184576883264,17,55.99999999999999,1.0776127266289304
5047.013037283115,9.478664223772784,61,805.9672131147537,1.0931118429189408
5034.997332359443,9.15976100045474,108,1858.2592592592543,1.1056288597721988
5016.994516275092,9.832164762525963,40,406.9749999999999,1.1308133746266467
4999.2621287585325,9.595676020649163,112,1991.999999999999,1.157996004369401
4995.133264018156,9.070415889861922,24,238.91666666666646,1.1635368145240128
4989.0683765765525,9.940972883238775,11,59.45454545454546,1.17112242188781
4975.7927923395555,9.363972169005894,51,618.0392156862745,1.1854289409058965
4959.22046755772,12.2222832197699,107,1822.3925233644854,1.19886141029955
4914.423135943007,10.25122538682602,103,1698.6213592233034,1.2105676664281473
4873.855270519756,10.580953175342497,11,59.45454545454546,1.2054864674033714
4832.248714207762,12.126268769984955,65,880.1538461538458,1.2095094334180299
4794.752189567371,10.978649388312595,87,1294.0459770114933,1.2213500193736593
4789.99985999524,10.563451781794974,109,1891.7247706421945,1.2234067924605538
4732.197266059831,11.12663916987115,58,826.5862068965523,1.254368975740014
4721.700654144941,12.39819953274386,82,1227.8292682926822,1.2596953146579983
4640.594168022225,11.271341274091766,48,544.1458333333337,1.293858767582536
4556.063406974166,11.087755282783155,94,1464.5744680851033,1.3647669746664386
4531.4990651627,10.73474905526984,106,1788.4528301886771,1.387155914282314
4523.631265001468,12.894933811059706,109,1890.8073394495448,1.3932203724509256
4504.805881931455,11.612349368828607,88,1321.5795454545446,1.4055516823474667
4449.036574935855,12.482340240044149,20,73.75,1.4286791799772165
4422.617540497006,11.997103345914145,61,774.8852459016409,1.4422610210542854
4407.945480868959,12.338897633708887,33,259.1515151515149,1.4513367878602406
4402.097902097901,13.46194388190995,2,0.5,1.4552590505103349
4363.219405403839,13.451756364725814,44,597.3409090909091,1.4855309971928174
4345.5818434889725,12.025304103801385,110,1925.645454545456,1.4991821138455155
4345.19407451062,12.385067569303105,56,553.107142857142,1.499465465912357
4306.451042961835,12.563652154329445,56,647.9821428571427,1.5241378287100122
4322.562928678036,12.236164423364327,4,5.75,1.514752460770099
4281.503890435611,12.304168396316367,106,1788.1698113207556,1.5362117906783967
4294.312801507045,12.094098879994828,6,14.166666666666668,1.530385617842582
4249.8553985800545,11.654623693410214,110,1925.2090909090955,1.5575209463993953
4221.4251859462,12.220879910117546,95,1487.1578947368446,1.5918834926957282
4201.483300379527,12.959586560214179,73,923.1780821917799,1.6233889246169548
4216.95091479264,13.529098160891598,4,3.0,1.5986052577324357
4194.872353865159,12.736699793094045,15,93.86666666666665,1.6332001740408604
4181.245428616761,12.032571708059914,52,632.5384615384614,1.6512984359421647
4171.040969239109,14.734937537214938,109,1890.8073394495448,1.6629770805753656
4166.2192178869755,11.78545634063725,110,1926.2363636363575,1.6679370375139662
