Ruprecht_15	97	=,,,dub
FSR_1357	95	=,,,
Collinder_465	95	=,r,c,non
Bochum_6	94	:,,,
FSR_1380	94	=,,,irc
Auner_1	92	=,,,emb
ESO_123-26	92	=,,,
Bochum_5	90	=,r,o,
ASCC_45	90	=,a,c,
NGC_2384	89	=,,,
ESO_493-03	89	=,,,
FSR_1200	89	=,,,
Haffner_18	88	=,n,o,
FSR_1283	87	=,,,
FSR_1228	86	=,,,
FSR_1212	86	=,,,
Ruprecht_50	85	=,,,dub
Czernik_30	85	=,,,
NGC_2467	84	=,n,o,
Ivanov_7	84	=,,,
FSR_1192	84	=,,,
NGC_2351	82	=,,,non
FSR_1170	81	=,,,irc
FSR_1195	80	=,,,
Gulliver_36	79	no K13 match
NGC_2352	77	=,,,non
ESO_311-21	77	=,,,
ESO_311-14	77	=,,,dub
FSR_1083	76	=,,,
FSR_1352	76	=,,,
Haffner_19	74	=,n,o,
FSR_1440	74	=,,,
Ruprecht_53	73	=,,,
FSR_1091	72	=,,,
ESO_430-14	72	=,,,dub
ESO_561-05	72	=,,,dub
Gulliver_3	71	no K13 match
FSR_1149	70	=,,,
FSR_1339	70	=,,,
FSR_1194	70	=,,,
NGC_2364	69	-,s,o,non
Gulliver_2	69	no K13 match
Ruprecht_9	68	=,,,non
NGC_2483	67	=,,,
ESO_427-32	66	=,,,
Ruprecht_25	66	=,r,o,dub
FSR_1172	66	=,,,
IRAS_06567-0355	65	=,,,irc
ESO_494-09	65	=,,,
FSR_1255	64	=,,,irc
FSR_1285	63	=,,,
Ruprecht_38	63	=,,,dub
FSR_1199	63	=,,,
Ruprecht_8	62	=,,,dub
FSR_1100	61	=,,,
vdBergh-Hagen_19	61	=,r,c,
Waterloo_3	61	=,,,
DBSB_5	61	=,n,o,irc
FSR_1312	60	=,,,
Berkeley_77	59	=,,,
FSR_1335	59	=,,,
NGC_2338	58	=,,,non
FSR_1298	58	=,,,
FSR_1129	57	=,,,
Ruprecht_150	57	=,,,
ESO_368-14	57	=,,,
Ruprecht_52	57	=,,,non
FSR_1365	57	=,,,
FSR_1176	56	=,,,
FSR_1347	56	=,,,
DBSB_3	56	=,,,irc
FSR_1204	56	=,r,c,irc
NGC_2395	55	=,r,o,
Ruprecht_149	55	=,,,dub
FSR_1111	54	=,,,
FSR_1173	54	=,,,
FSR_1118	53	=,,,
Ruprecht_17	51	=,,,
FSR_1379	51	=,,,
FSR_1234	50	=,,,irc
FSR_1350	50	=,,,
FSR_1202	49	=,,,irc
FSR_1220	48	=,r,c,
Ruprecht_152	48	=,r,o,
FSR_1160	47	=,,,
ESO_429-13	47	=,,,
Haffner_24	47	=,,,non
FSR_1227	47	=,,,irc
FSR_1326	47	=,,,
FSR_1113	46	=,,,irc
FSR_1221	46	=,r,o,
Ruprecht_51	46	=,,,non
Ruprecht_11	45	=,,,
Majaess 86	45	no K13 match
FSR_1279	44	=,,,
FSR_1297	44	=,,,
FSR_1191	44	=,,,
Teutsch_50	44	=,,,
ESO_426-26	44	=,,,rem
NGC_1641	44	=,r,o,rem
Alessi_18	43	=,,,
FSR_1064	42	=,,,
FSR_1171	42	=,,,irc
Waterloo_8	41	-,s,o,
NGC_2368	41	=,,,dub
FSR_1383	41	=,,,
FSR_1147	40	=,,,
DBSB_12	40	=,,,irc
FSR_1289	40	=,,,
FSR_1479	40	=,r,o,
FSR_1139	39	=,,,
Ivanov_9	39	=,,,
FSR_1076	39	=,,,
Ruprecht_30	39	=,,,ast
Ruprecht_57	39	=,,,
FSR_1400	39	=,r,c,
FSR_1306	38	=,,,
FSR_1336	38	=,,,
Turner_12	38	=,,,dub
Alessi_17	38	=,,,ast
FSR_1226	38	=,r,o,
Gulliver_10	38	no K13 match
NGC_2348	38	=,r,o,rem
Berkeley_75	37	=,,,
Ruprecht_14	37	=,,,non
ESO_429-02	37	=,,,rem
Mayer_3	37	&,,,
ESO_258-01	37	=,r,c,dub
FSR_1152	36	=,,,
Ferrero_10	36	-,,,
Ruprecht_3	36	=,r,o,rem
FSR_1363	36	=,,,irc
BIP_14	35	=,n,o,emb
DC_3	35	=,,,
FSR_1245	34	=,,,
Collinder_466	34	=,,,dub
Ruprecht_154	34	=,r,o,
FSR_1351	33	=,,,
FSR_1470	33	=,,,
Bica_4	32	=,,,
Ruprecht_153	32	=,r,c,non
Arp-Madore_2	32	=,,,
NGC_2132	32	=,r,c,non
FSR_1145	31	=,,,
FSR_1044	31	=,r,o,
Ruprecht_155	31	=,,,non
Haffner_25	31	=,,,non
FSR_1197	31	=,,,
FSR_1178	31	=,,,
FSR_1164	31	=,,,
Wit_1	30	=,,,
Ruprecht_49	30	=,,,
FSR_1295	30	=,r,o,
ESO_429-05	29	=,,,
ESO_430-09	29	=,,,dub
Ruprecht_39	29	=,,,non
Ruprecht_6	29	=,r,o,dub
SAI_88	29	=,,,
FSR_1332	29	=,,,
FSR_1514	29	=,r,o,
Teutsch_25	28	=,,,
Ruprecht_22	28	=,,,dub
Ruprecht_26	28	=,,,
NGC_2220	28	=,r,o,non
FSR_1142	26	=,,,
FSR_1327	26	=,,,
FSR_1249	26	=,,,
NGC_1557	26	=,r,o,rem
Haffner_7	25	=,,,
SAI_82	25	=,,,
DBSB_10	25	=,,,irc
FSR_1185	25	=,r,c,
FSR_1320	24	=,,,
ESO_309-03	24	=,,,
FSR_1159	23	=,,,
Kronberger_85	23	=,,,
FSR_1303	23	=,,,
BDSB_90	22	=,,,irc
Ruprecht_2	22	=,,,non
FSR_1084	20	=,,,
Ivanov_6	20	=,,,
FSR_1294	20	=,,,irc
FSR_1307	20	=,r,o,
FSR_1184	20	=,r,c,
BDSB_93	20	=,,,
DC_4	18	=,,,
Pup_OB3	18	=,a,o,ass
FSR_1446	17	=,,,
Sh2_287C	16	=,,,emb
FSR_1087	16	=,,,
NGC_2394	16	-,s,o,non
Haffner_20	16	=,,,
DBSB_9	16	=,,,irc
Riddle_5	15	=,,,ast
Ruprecht_31	15	=,,,
FSR_1317	15	=,r,c,
NGC_2459	14	=,r,o,ast
FSR_1102	13	=,,,
FSR_1157	12	=,,,
FSR_1144	12	=,,,irc
Ruprecht_46	11	=,,,ast
Saurer_1	10	=,,,
FSR_1293	10	=,,,
OCT	9	no K13 match
