src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,comments,logg,logg Err,N_planets,R_s,R_s Err,R_p,R_p Err,T_eq,T_eff,T_eff Err,Insol_p,SNR_p,Centroid offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Created,Updated
spoc,73723286,00665.01,PC,155.636868,-40.516157,9.088,0.018,1547.303252,0.000369,14.065993,0.000506,3.442418,0.023263,16749.968493,173.31256,9,period in qlp = 14.05864 was slightly off,4.20407,0.308573,1,1.41729,0.191856,20.710905,2.806728,932.519826,6157.0,194.0,178.711828,109.28948,False,3,4,3,3,4,4,4,2019-05-06 19:17:04.353076+00:00,2019-05-07 15:05:05.515428+00:00
spoc,82128636,00666.01,PC,124.110449,-46.429906,8.79,0.018,1543.9367,0.002842,7.47428,0.001339,1.549211,0.107297,1594.604377,237.15956,9,,4.20036,1.91341,1,1.56353,1.48535,7.637788,7.310065,1271.526355,6680.0,201.0,617.763815,12.282331,False,3,4,3,3,4,4,4,2019-05-06 19:17:04.397189+00:00,2019-05-07 15:05:05.510914+00:00
spoc,101955023,00667.01,PC,153.7157,-47.1567,10.938,0.059,1544.715897,0.000827,1.628694,0.000101,0.799026,0.24285,2850.041412,168.17319,9,GJ 1132b,4.86375,0.0,1,0.26,0.0,1.402261,0.767937,582.272532,3202.0,0.0,27.166032,16.902313,False,5,5,5,5,5,5,5,2019-05-06 19:17:04.605366+00:00,2019-05-07 15:05:05.487985+00:00
spoc,102195674,00668.01,PC,154.191863,-42.559033,11.303,0.018,1547.461261,0.000619,4.378773,0.00024,3.818396,0.041287,30425.653664,453.80573,9,,4.37691,0.403057,3,1.16198,0.218512,20.62459,3.883677,1246.106268,6159.0,194.0,569.824771,68.38349,False,3,4,3,3,4,4,4,2019-05-06 19:17:04.674892+00:00,2019-05-07 15:05:05.483479+00:00
spoc,124573851,00669.01,PC,158.900634,-5.181666,10.137,0.018,1546.136799,0.005545,3.948678,0.001811,3.420507,0.343622,754.018523,68.2022,9,,4.13,0.12,1,1.15284,0.170302,3.842242,0.628328,1283.435066,5581.9,76.0,641.234094,9.629088,False,2,4,2,2,4,4,4,2019-05-06 19:17:04.794206+00:00,2019-05-07 15:05:05.465298+00:00
spoc,147660201,00670.01,PC,163.909428,-42.84938,11.072,0.018,1543.348205,0.002717,0.579398,0.000108,1.64214,0.200189,1324.07712,130.15393,9,Need Sg1 to check 147660207 (half a pixel away) of T mag =  12.666,4.48774,0.314376,1,0.950534,0.137621,5.759676,9.940321,2093.081072,5688.0,188.0,4535.918085,11.090368,False,3,4,3,3,4,4,4,2019-05-06 19:17:04.838475+00:00,2019-05-07 15:05:05.460797+00:00
spoc,151681127,00671.01,PC,166.889018,-40.206942,9.128,0.021,1552.917674,0.000333,10.197751,0.000495,4.911431,0.025398,15405.531208,121.069046,9,Likely large planet based on temperature; need SG1 to check 151681126 (T mag = 15.914),4.21106,0.450146,1,1.79553,0.360923,24.004261,4.826364,1390.317795,7949.0,219.0,883.033801,135.34671,False,3,4,3,3,4,4,4,2019-05-06 19:17:04.882769+00:00,2019-05-07 15:05:05.456229+00:00
spoc,151825527,00672.01,PC,167.9904,-39.3278,11.561,0.045,1546.479924,0.000698,3.633618,0.000191,1.788031,0.088834,9033.936252,234.44171,9,no GAIA DR2 radius,4.75169,0.342271,1,0.525,0.077,5.03317,0.789817,614.956513,3765.0,65.0,33.798593,31.974104,False,3,4,3,3,4,4,4,2019-05-06 19:17:04.926873+00:00,2019-05-07 15:05:05.451752+00:00
spoc,151959065,00673.01,PC,168.998549,-36.459419,11.933,0.019,1551.637263,0.001167,10.541282,0.001645,6.241204,0.110813,18663.713048,313.98477,9,GAIA DR2 R = 1.7 Rsolar; transiting object might be slightly bigger,4.28439,2.00499,1,1.2818,1.2818,17.800047,17.802114,972.106001,6114.0,194.0,211.045209,43.950787,False,3,4,3,3,4,4,4,2019-05-06 19:17:04.971320+00:00,2019-05-07 15:05:05.446933+00:00
spoc,158588995,00674.01,PC,164.5874,-36.8581,11.764,0.046,1544.523796,0.00031,1.977238,4.4e-05,1.021981,0.047737,14081.706892,220.63156,9,No GAIA DR2 Radius,4.87946,0.378912,1,0.371,0.06,4.430879,0.742535,623.305314,3467.0,64.0,35.671742,53.596184,False,3,4,3,3,4,4,4,2019-05-06 19:17:05.015783+00:00,2019-05-07 15:05:05.442310+00:00
