TIC ID|CTOI|MASTER|SG1A|SG1B|SG2|SG3|SG4|SG5|User Disposition|TFOPWG Disposition|TESS Mag|TESS Mag err|RA|Dec|PM RA (mas/yr)|PM RA err (mas/yr)|PM Dec (mas/yr)|PM RA (mas/yr)|Midpoint (BJD)|Midpoint err|Period (days)|Period (days) Error|Depth mmag|Depth mmag Error|Depth ppm|Depth ppm Error|Duration (hrs)|Duration (hrs) Error|Inclination (deg)|Inclination (deg) Error|Impact Param|Impact Param Error|Rad_p/Rad_s|Rad_p/Rad_s Error|a/Rad_s|a/Rad_s Error|Radius (R_Earth)|Radius (R_Earth) Error|Mass (M_Earth)|Mass (M_Earth) Error|Insolation (Earth Flux)|Insolation (Earth Flux) Error|Equilibrium Temp (K)|Equilibrium Temp (K) Error|Fitted Stellar Density (g/cm^3)|Fitted Stellar Density (g/cm^3) Error|Semi-Major Axis (AU)|Semi-Major Axis (AU) Error|Eccentricity|Eccentricity (Error)|Arg of Periastron|Arg of Periastron Error|Time of Periastron (BJD)|Time of Periastron (BJD) Error|Velocity Semi-amp (m/s)|Velocity Semi-amp (m/s) Error|Stellar Distance (pc)|Stellar Distance (pc) err|Stellar Eff Temp (K)|Stellar Eff Temp (K) err|Stellar log(g) (cm/s^2)|Stellar log(g) (cm/s^2) err|Stellar Radius (R_Sun)|Stellar Radius (R_Sun) err|CTOI lastmod|User|Group|Tag|Notes
39018208|39018208.01||||||||PC||11.1032|0.006|12.089468|-66.160258|-2.821|0.042|3.22|0.037|2458327.9262||6.645833||6007.623652||996046.784046854||2.93333333333333||||||||||10.5341899780203||||||||||||||||||||399.552|3.6405|6081.5|116.224|4.08411|.0771962|1.60484|.0737939|2019-06-06 03:40:31|lipponen||3787|sector1
39018208|39018208.02||||||||PC||11.1032|0.006|12.089468|-66.160258|-2.821|0.042|3.22|0.037|2458331.1013||6.660417||3933.976174||973306.253579002||2.23333333333333||||||||||27.3735196484059||||||||||||||||||||399.552|3.6405|6081.5|116.224|4.08411|.0771962|1.60484|.0737939|2019-06-06 03:40:31|lipponen||3787|sector1
49678165|49678165.01||||||||PC||12.9993|0.007|351.517489|-10.623807|158.953|0.144|8.092|0.1|24581371.1945|.0038|35.64|32.19|||||||90|.36|||.1|.01|74.13|64.74|3.02|.21|||.3|.3|||||||||||||||39.2716|.12275|3064|157|4.94194|.00769985|.285641|.00854479|2019-02-21 16:01:33|christiansen||2163|Planet candidates identified in https://arxiv.org/pdf/1812.08145.pdf
50380257|50380257.01||||||||PC||9.237701|0.006|32.980774|-72.678776|41.405|0.047|30.072|0.054|2458326.9463||1.348611||5502.734388||993706.29699585||2.66666666666667||||||||||12.8087134442246||||||||||||||||||||185.952|.9555|6623|137.864|4.21473|.087915|1.52467|.0641759|2019-05-25 09:17:28|lipponen||3787|sector1
52079677|52079677.01||||||||PC||11.9028|0.006|17.304042|-67.918963|7.323|0.049|-1.059|0.035|2458338.2539||9.034722||3677.380785||966189.804175897||3.83333333333333||||||||||23.0811482715344||||||||||||||||||||588.257|9.0225|6001|124.324|4.04875|.080608|1.64938|.0803015|2019-05-12 09:25:49|lipponen||3542|firstBulkUpload
52079677|52079677.02||||||||PC||11.9028|0.006|17.304042|-67.918963|7.323|0.049|-1.059|0.035|2458333.833||9.041667||5022.030889||990200.86717492||3.5||||||||||12.4258867191573||||||||||||||||||||588.257|9.0225|6001|124.324|4.04875|.080608|1.64938|.0803015|2019-05-12 09:25:49|lipponen||3542|firstBulkUpload
53682439|53682439.01|4|4|3|4|4|4|4|PC|PC|15.3426|0.007|103.310506|-27.179131|-1.657|0.069|4.581|0.081|2458492.0882824035|.0013689692132174967|0.6413456209562327|0.00006495969016478975|55.401546|28.653386|49746.710746377306|26045.551547798485|1.249975883663664|0.2658076361278069|81.13600234310084|7.186897209807711|.642938838109815|.534483478812983|.22303970665865147|.08257267907627833|4.172500915475819|.8767694030437032|19.473929083644226|5.842178725093268|||||||||||||||||||489.416|12.178|3725|122|4.37957||.800462||2019-10-05 04:24:56|bouma|tfopwg|5722|Zari+18 pre-MS dwarf, w/ cand close-in giant planet (else EB). ~4% amplitude spot signal. (CDIPS; Bouma+19)
55404385|55404385.01||||||||PC||6.6081|0.006|78.013178|-65.175456|40.091|0.046|58.908|0.059|2458326.8029||2.95||2541.134889||903717.791306244||3.26666666666667||||||||||63.696266318294||||||||||||||||||||61.8944|.08765|6562|116.523|4.11706|.0858952|1.68762|.0693668|2019-06-06 03:40:31|lipponen||3787|sector1
55404385|55404385.02||||||||PC||6.6081|0.006|78.013178|-65.175456|40.091|0.046|58.908|0.059|2458328.2751||2.951389||3622.949497||964451.588308822||3.03333333333333||||||||||38.7035725369134||||||||||||||||||||61.8944|.08765|6562|116.523|4.11706|.0858952|1.68762|.0693668|2019-06-06 03:40:31|lipponen||3787|sector1
55497281|55497281.01||||||||PC||7.198|0.006|71.718168|-60.602964|49.528|0.065|130.922|0.084|2458330.8973||14.90278||1276.02923||691263.264402461||8.33333333333333||||||||||97.2495507783636||||||||||||||||||||65.9713|.1256|6135|125.015|4.13736|.0808893|1.52258|.0687437|2019-05-12 09:25:49|lipponen||3542|firstBulkUpload
55524055|55524055.01||||||||PC||11.8378|0.006|72.053545|-63.695394|32.841|0.047|27.794|0.058|2458325.3863||2.648611||1941.438008||832727.40401457||1.93333333333333||||||||||35.3573607455189||||||||||||||||||||186.412|.9245|4978.42|136.607|4.60755|.0954136|.74502|.0523291|2019-06-06 03:40:31|lipponen||3787|sector1
55524055|55524055.02||||||||PC||11.8378|0.006|72.053545|-63.695394|32.841|0.047|27.794|0.058|2458326.7141||2.648611||3211.807296||948086.885899297||2||||||||||19.6972674534673||||||||||||||||||||186.412|.9245|4978.42|136.607|4.60755|.0954136|.74502|.0523291|2019-06-06 03:40:31|lipponen||3787|sector1
